match_id,match_date,opponent,home_away,starting_position,minutes,events_analysed,touches_proxy,located_touches_proxy,receptions,located_receptions,avg_touch_x,avg_touch_y,avg_reception_x,avg_reception_y,left_wing_share,left_halfspace_share,centre_share,right_halfspace_share,right_wing_share,left_share,central_share,right_share,halfspace_share,final_third_involvement,final_third_share,passes,carries,shots,pressures,tackles,interceptions,recoveries,passes_completed,pass_completion,forward_passes,passes_unknown_endpoints,progressive_passes,passes_final_third_entry,passes_penalty_area_entry,carries_unknown_endpoints,progressive_carries,carries_final_third_entry,carries_penalty_area_entry,final_third_entries,penalty_area_entries,defensive_actions,touches_proxy_p90,receptions_p90,passes_p90,carries_p90,shots_p90,progressive_passes_p90,progressive_carries_p90,defensive_actions_p90,nearest_defender_distance,shot_assists,xg
statsbomb:match:3895232,2024-02-10,Bayern Munich,home,Center Forward,91.36318333333334,237,158,158,51,51,59.425632911392405,42.160601265822784,58.970588235294116,39.27450980392157,0.2911392405063291,0.31645569620253167,0.0949367088607595,0.13291139240506328,0.16455696202531644,0.6075949367088608,0.0949367088607595,0.2974683544303797,0.44936708860759494,61,0.3860759493670886,55,49,1,40,3,0,6,46,0.8363636363636363,29,0,3,3,1,0,4,2,1,5,2,49,155.64256280474757,50.2390550825451,54.179373128234914,48.2688960597002,0.985079511422453,2.955238534267359,3.940318045689812,48.2688960597002,,0,0.07725087
statsbomb:match:3895244,2024-02-17,FC Heidenheim,away,Center Attacking Midfield,89.70753333333333,279,211,211,69,69,59.18088467614534,44.14514218009479,57.885265700483096,46.07789855072464,0.23222748815165878,0.20853080568720378,0.22748815165876776,0.26540284360189575,0.06635071090047394,0.44075829383886256,0.22748815165876776,0.33175355450236965,0.47393364928909953,83,0.3933649289099526,66,66,2,26,1,0,7,52,0.7878787878787878,35,0,14,5,3,0,11,8,2,13,5,34,211.68790729578268,69.22495546639338,66.2151747939415,66.2151747939415,2.0065204483012575,14.045643138108803,11.035862465656917,34.11084762112138,,3,0.24007409999999998
statsbomb:match:3895250,2024-02-23,FSV Mainz 05,home,Left Attacking Midfield,91.87245,259,211,211,69,69,68.5714849921011,39.33767772511848,66.8913043478261,40.08152173913044,0.33175355450236965,0.25118483412322273,0.15639810426540285,0.08530805687203792,0.17535545023696683,0.5829383886255924,0.15639810426540285,0.26066350710900477,0.33649289099526064,122,0.5781990521327014,71,62,3,13,1,1,5,57,0.8028169014084507,37,0,7,4,1,0,1,4,3,8,4,20,206.6996145199132,67.5937128050901,69.55295085741155,60.736379621965014,2.938857078482178,6.857333183125083,0.979619026160726,19.592380523214523,,2,0.132703234
statsbomb:match:3895258,2024-03-03,FC Köln,away,Left Attacking Midfield,96.84403333333333,244,204,204,64,64,74.8390522875817,44.129901960784316,74.37109375,43.51953125,0.3333333333333333,0.19607843137254902,0.07352941176470588,0.23529411764705882,0.16176470588235295,0.5294117647058824,0.07352941176470588,0.39705882352941174,0.43137254901960786,155,0.7598039215686274,68,66,4,19,2,1,2,52,0.7647058823529411,32,0,11,4,4,0,3,3,3,7,7,24,189.58318203048822,59.47707671544728,63.19439401016274,61.33573536280501,3.717317294715455,10.222622560467501,2.7879879710365914,22.30390376829273,,1,0.120631612
statsbomb:match:3895266,2024-03-10,Wolfsburg,home,Left Attacking Midfield,90.38476666666665,353,303,303,104,104,73.8468096809681,50.884075907590756,72.7636217948718,50.43509615384615,0.22112211221122113,0.20462046204620463,0.11551155115511551,0.2145214521452145,0.24422442244224424,0.42574257425742573,0.11551155115511551,0.45874587458745875,0.41914191419141916,225,0.7425742574257426,97,92,3,19,1,0,4,86,0.8865979381443299,35,0,4,4,2,0,2,3,1,7,3,24,301.71013330786207,103.5572734786061,96.58707237908455,91.60835730799772,2.9872290426520993,3.9829720568694658,1.9914860284347329,23.897832341216795,,2,0.33749204
statsbomb:match:3895275,2024-03-17,Freiburg,away,Left Attacking Midfield,95.33855,304,244,244,80,80,64.04234972677595,36.46055327868852,62.69375,37.4140625,0.2581967213114754,0.38524590163934425,0.18442622950819673,0.11885245901639344,0.05327868852459016,0.6434426229508197,0.18442622950819673,0.1721311475409836,0.5040983606557377,101,0.4139344262295082,82,77,2,22,4,1,7,67,0.8170731707317073,36,0,8,4,2,0,3,4,2,8,4,34,230.33704624205004,75.52034303018034,77.40835160593485,72.68833016654858,1.8880085757545086,7.552034303018035,2.8320128636317627,32.09614578782664,,2,0.520676904
statsbomb:match:3895286,2024-03-30,Hoffenheim,home,Left Attacking Midfield,99.18626666666665,321,267,267,90,90,76.9659800249688,38.059925093632955,75.98055555555555,37.5,0.41947565543071164,0.21348314606741572,0.0749063670411985,0.149812734082397,0.14232209737827714,0.6329588014981273,0.0749063670411985,0.29213483146067415,0.36329588014981273,215,0.8052434456928839,91,79,3,18,2,0,8,74,0.8131868131868132,38,0,7,2,6,0,5,3,8,5,14,28,242.2714434928492,81.66453151444354,82.57191519793736,71.68331099601156,2.7221510504814512,6.35168578445672,4.536918417469086,25.40674313782688,,6,0.129059061
statsbomb:match:3895292,2024-04-06,Union Berlin,away,Right Attacking Midfield,104.90231666666666,248,198,198,67,67,63.313131313131315,57.60669191919192,63.20522388059702,55.69962686567164,0.13131313131313133,0.21212121212121213,0.1414141414141414,0.22727272727272727,0.2878787878787879,0.3434343434343434,0.1414141414141414,0.5151515151515151,0.4393939393939394,106,0.5353535353535354,66,59,2,19,1,0,6,56,0.8484848484848485,40,0,13,4,5,0,7,6,1,10,6,26,169.87232090044407,57.48204798146339,56.624106966814686,50.618519864273736,1.7158820292974146,11.153233190433195,6.005587102540951,22.30646638086639,,3,0.841714318
statsbomb:match:3895302,2024-04-14,Werder Bremen,home,,44.86846666666667,138,99,99,32,32,58.437710437710436,34.696969696969695,56.080729166666664,34.4375,0.24242424242424243,0.3939393939393939,0.16161616161616163,0.20202020202020202,0.0,0.6363636363636364,0.16161616161616163,0.20202020202020202,0.5959595959595959,39,0.3939393939393939,27,32,5,20,0,2,4,25,0.9259259259259259,13,0,2,1,1,0,5,1,2,2,3,26,198.58044328087877,64.18761803018303,54.158302712966936,64.18761803018303,10.0293153172161,4.0117261268864395,10.0293153172161,52.152439649523714,,1,0.870759703
statsbomb:match:3895309,2024-04-21,Borussia Dortmund,away,,29.389800000000015,57,44,44,13,13,64.47537878787878,38.45454545454545,60.68589743589743,31.53846153846154,0.36363636363636365,0.25,0.11363636363636363,0.13636363636363635,0.13636363636363635,0.6136363636363636,0.11363636363636363,0.2727272727272727,0.38636363636363635,19,0.4318181818181818,16,14,0,6,0,0,2,9,0.5625,6,0,2,1,1,0,2,0,2,1,3,8,134.74062429822584,39.809729906294,48.996590653900306,42.87201682216277,0.0,6.124573831737538,6.124573831737538,24.498295326950153,,0,0
statsbomb:match:3895320,2024-04-27,VfB Stuttgart,home,,24.69124999999999,71,53,53,19,19,69.75943396226415,62.931603773584904,68.5701754385965,64.53289473684211,0.07547169811320754,0.22641509433962265,0.1509433962264151,0.18867924528301888,0.3584905660377358,0.3018867924528302,0.1509433962264151,0.5471698113207547,0.41509433962264153,31,0.5849056603773585,18,16,0,8,0,0,0,14,0.7777777777777778,11,0,2,3,2,0,1,0,0,3,2,8,193.1858451880728,69.25530299195061,65.61028704500585,58.320255151116314,0.0,7.290031893889539,3.6450159469447696,29.160127575558157,,0,0
statsbomb:match:3895348,2024-05-18,Augsburg,home,,31.151683333333335,79,61,61,20,20,70.275956284153,40.497950819672134,69.325,38.38125,0.21311475409836064,0.3442622950819672,0.22950819672131148,0.14754098360655737,0.06557377049180328,0.5573770491803278,0.22950819672131148,0.21311475409836064,0.4918032786885246,44,0.7213114754098361,14,22,3,9,1,0,3,13,0.9285714285714286,9,0,3,0,0,0,3,1,0,1,0,13,176.2344570999641,57.78178921310298,40.44725244917209,63.55996813441328,8.667268381965448,8.667268381965448,8.667268381965448,37.55816298851694,,2,0.200013376
